#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44099  36.901  -75.720 2012 01 06 07 52  MM    MM    MM  0.5  11  3.4 102     MM    MM    MM   9.5    MM   MM     MM
44100  36.258  -75.591 2012 01 06 07 52  MM    MM    MM  0.5  11  4.1 102     MM    MM    MM   9.9    MM   MM     MM
44137  42.230  -62.020 2012 01 06 07 00 300  10.0  12.0  2.2   8   MM  MM 1007.1  +0.9   6.2   8.7    MM   MM     MM
44138  44.250  -53.633 2012 01 06 07 00 170  16.0  20.0  4.0  11   MM  MM 1003.5    MM  10.3   7.2    MM   MM     MM
44139  44.240  -57.101 2012 01 06 08 00 300   6.0   8.0  2.2  12   MM  MM 1005.0  +1.6   4.7   5.1    MM   MM     MM
44140  42.870  -51.470 2012 01 06 07 00 170  11.0  13.0  3.0  10   MM  MM 1009.9    MM  16.2   9.8    MM   MM     MM
44150  42.500  -64.020 2012 01 06 08 00 350   9.0  11.0  1.9  10   MM  MM 1009.2  +2.2   2.9   9.5    MM   MM     MM
44172  44.500  -63.408 2012 01 06 08 01  MM    MM    MM  1.5  11  6.1 147     MM    MM    MM   5.3    MM   MM     MM
44258  44.500  -63.400 2012 01 06 07 00 300   9.0  11.0  1.5  10   MM  MM 1007.5  +1.8  -1.4   5.2    MM   MM     MM
46001  56.300 -148.021 2012 01 06 07 50 320  14.0  17.0  3.5  11  6.3  MM  997.2  +1.0  -0.4   3.9    MM   MM     MM
46002  42.589 -130.474 2012 01 06 07 50  MM    MM    MM  5.1  15 10.7  MM 1029.7  -0.7   9.6  11.7    MM   MM     MM
46004  50.930 -136.100 2012 01 06 07 00 160  16.0  20.0  4.5   7   MM  MM 1010.0  -4.8   5.1   7.1    MM   MM     MM
46005  46.100 -131.001 2012 01 06 07 50  MM   9.0  11.0  5.1  14  9.4  MM 1025.1  -1.8   8.6   9.6    MM   MM     MM
46006  40.754 -137.464 2012 01 06 07 50 210   8.0  10.0  3.2  14  7.5  MM 1028.6  -0.5  12.1  11.9    MM   MM     MM
46011  35.000 -120.992 2012 01 06 07 50 330  11.0  14.0  4.0  16  8.4 279 1018.9  -0.6  12.8  12.9    MM   MM     MM
46012  37.363 -122.881 2012 01 06 07 50 310  10.0  13.0  4.3  15  9.0 302 1022.3  +0.0  10.8  11.5    MM   MM     MM
46013  38.242 -123.301 2012 01 06 07 50 320  12.0  15.0  5.1  16  9.0  MM 1021.5  +0.0  10.5  10.8    MM   MM     MM
46014  39.235 -123.974 2012 01 06 07 50 340  12.0  15.0  4.4  13  8.4  MM 1023.5  +0.0  10.3  11.1    MM   MM     MM
46025  33.749 -119.053 2012 01 06 07 50 340   3.0   4.0  1.7  15  9.9 282 1014.9  -0.7  15.8  15.1  13.5   MM     MM
46026  37.759 -122.833 2012 01 06 07 50 310  10.0  12.0  3.8  16  8.8 275 1021.7  -0.3  10.7  11.4    MM   MM     MM
46027  41.850 -124.381 2012 01 06 07 50 360   4.0   6.0  5.0  16 11.2 265 1025.0  +0.0   8.8   9.7    MM   MM     MM
46028  35.741 -121.884 2012 01 06 07 50 320  15.0  18.0  4.3  17  8.4 298 1018.8  -1.0  11.7  13.0    MM   MM     MM
46029  46.144 -124.510 2012 01 06 07 50 330   2.0   4.0  5.0  15  9.9 262 1028.8  -0.4   8.0   8.9   1.5   MM     MM
46035  57.067 -177.750 2012 01 06 07 50  20   4.0   6.0  1.6  13  7.7  MM 1006.5  +0.0    MM    MM    MM   MM     MM
46036  48.351 -133.940 2012 01 06 07 00 180  13.0  16.0  3.6  12   MM  MM 1017.3  -4.1   7.7   7.8    MM   MM     MM
46041  47.353 -124.731 2012 01 06 07 50 220   2.0   4.0  5.4  16 10.6  MM 1028.2  +0.0   7.1   8.8    MM   MM     MM
46042  36.789 -122.404 2012 01 06 07 50 350  10.0  12.0  4.6  17  9.7 306 1021.9  +0.0  11.3  11.8    MM   MM     MM
46047  32.403 -119.536 2012 01 06 07 50 320   7.0   8.0  3.6  17  9.4 280 1016.1  -1.1  14.1  13.6    MM   MM     MM
46050  44.639 -124.534 2012 01 06 07 50  30   4.0   6.0  5.2  15 11.2 274 1028.3  -0.6   8.1   9.4    MM   MM     MM
46053  34.248 -119.841 2012 01 06 07 50 340   2.0   3.0  2.7  16  9.5 285 1015.5  -0.8  14.5  14.4    MM   MM     MM
46054  34.274 -120.459 2012 01 06 07 50 310  12.0  14.0  4.0  15  8.8  MM 1016.6  -0.5  13.3  13.0    MM   MM     MM
46059  38.047 -129.969 2012 01 06 07 50 320   6.0   9.0  5.0  16 11.5  MM 1030.8  +0.0   9.9  13.6    MM   MM     MM
46060  60.593 -146.818 2012 01 06 06 50 110   9.0  10.0   MM  MM   MM  MM  996.7  -3.0   0.7   4.6    MM   MM     MM
46061  60.233 -146.834 2012 01 06 07 50 140  18.0  24.0  2.4  10  5.4  MM  994.5  -4.2   3.2   4.8    MM   MM     MM
46069  33.670 -120.200 2012 01 06 07 50 320  10.0  13.0  3.8  16  8.6 285 1016.0  -1.0  14.1  13.5    MM   MM     MM
46070  55.083  175.270 2012 01 06 07 50  30   5.0   8.0  1.6  12  5.8  MM 1006.8  +0.0  -4.8   2.8 -11.3   MM     MM
46072  51.663 -172.162 2012 01 06 07 50  90  12.0  14.0  2.8  16  5.9  MM  997.7  -2.0   0.3   4.0  -6.5   MM     MM
46075  53.911 -160.806 2012 01 06 07 50 340   8.0  10.0  1.8   7  5.3  MM 1004.9  +0.5  -4.1   3.4 -10.1   MM     MM
46077  57.892 -154.291 2012 01 06 07 50 280   9.0  11.0  1.5   6  4.5  MM 1002.5  +1.6  -8.0   3.6 -15.3   MM     MM
46078  56.074 -152.572 2012 01 06 07 50 320   9.0  11.0   MM  MM   MM  MM 1004.3  +1.3  -5.0    MM -13.4   MM     MM
46080  58.036 -149.985 2012 01 06 07 50 310  11.0  14.0  3.1  10  6.4  MM  999.7  +0.6  -3.6   4.4  -8.5   MM     MM
46082  59.688 -143.399 2012 01 06 07 50  MM    MM    MM  5.0  10  7.0  MM 1002.8  -1.0   2.5   5.6    MM   MM     MM
46083  58.237 -137.986 2012 01 06 07 50 140  13.0  16.0  2.7   8  5.4  MM 1010.4  -2.4   4.2   6.3  -0.4   MM     MM
46084  56.612 -136.065 2012 01 06 07 50  MM    MM    MM  3.2  11  5.8  MM 1012.0  -2.6   5.2   7.1  -1.6   MM     MM
46086  32.491 -118.034 2012 01 06 07 50 210   2.0   2.0  2.5  14 10.4 287 1015.5  -1.3  14.5  15.1    MM   MM     MM
46087  48.494 -124.728 2012 01 06 07 50 260   4.0   6.0  5.5  14 10.7 256 1027.4  +0.0   8.0   8.4   1.6   MM     MM
46088  48.333 -123.167 2012 01 06 07 50 250   8.0  10.0  1.1   4  4.1 265 1027.2  +0.3   6.9   7.7    MM   MM     MM
46089  45.889 -125.830 2012 01 06 07 50 180   3.0   4.0  5.1  13  9.8 267 1028.9  -0.8   7.4   9.2   2.6   MM     MM
46092  36.750 -122.020 2012 01 06 05 37 320  11.0    MM   MM  MM   MM  MM 1021.2    MM  11.0    MM    MM   MM     MM
46094  44.633 -124.304 2012 01 06 07 00 350   4.0    MM   MM  MM   MM  MM     MM    MM   7.7    MM    MM   MM     MM
46105  59.049 -152.233 2012 01 06 07 50  MM    MM    MM  2.2   7  5.6 277     MM    MM    MM    MM    MM   MM     MM
46109  48.123 -123.395 2012 01 06 06 57 210   2.0    MM   MM  MM   MM  MM 1027.5    MM   5.9   8.0    MM   MM     MM
46110  48.115 -123.032 2012 01 06 06 58 160   3.0    MM   MM  MM   MM  MM 1027.5    MM   4.7    MM    MM   MM     MM
46111  48.131 -122.748 2012 01 06 08 00 180   1.0    MM   MM  MM   MM  MM 1027.8  +0.4   6.9   5.0    MM   MM     MM
46114  36.710 -122.342 2012 01 06 07 34  MM    MM    MM  4.6  17   MM  MM     MM    MM    MM  11.1    MM   MM     MM
46131  49.910 -124.990 2012 01 06 07 00 320   2.0   3.0  0.1   2   MM  MM 1027.0  +1.0    MM   7.5    MM   MM     MM
46132  49.740 -127.930 2012 01 06 07 00 160   8.0   9.0  5.4  14   MM  MM 1025.2    MM   6.1   8.3    MM   MM     MM
46146  49.340 -123.730 2012 01 06 07 00 290   4.0   5.0  0.2   3   MM  MM 1026.9  +1.0   6.9   7.0    MM   MM     MM
46147  51.830 -131.220 2012 01 06 07 00 180   8.0  11.0  5.2  11   MM  MM 1019.6  -2.5   5.7   7.5    MM   MM     MM
46181  53.830 -128.830 2012 01 06 07 00 200   4.0   6.0  0.1   2   MM  MM 1021.9  +0.1   2.9   4.8    MM   MM     MM
46183  53.620 -131.100 2012 01 06 07 00 130   9.0  12.0  1.2   9   MM  MM 1018.7  -2.0   5.5   7.5    MM   MM     MM
46184  53.910 -138.850 2012 01 06 07 00 140  18.0  24.0  5.5   9   MM  MM 1001.7  -5.2   4.6   5.7    MM   MM     MM
46185  52.420 -129.790 2012 01 06 07 00 180   8.0   9.0  3.2  13   MM  MM 1021.0  -1.5   5.6   6.8    MM   MM     MM
46204  51.370 -128.750 2012 01 06 07 00 160   7.0   9.0  4.4  12   MM  MM 1023.0  -1.3   4.9   7.6    MM   MM     MM
46205  54.160 -134.280 2012 01 06 07 00 160  12.0  14.0  3.7  12   MM  MM 1014.6  -3.3   5.5   7.3    MM   MM     MM
46206  48.840 -126.000 2012 01 06 07 00 220   3.0   5.0  4.8  14   MM  MM 1027.5  +0.0   7.1   8.1    MM   MM     MM
46207  50.870 -129.920 2012 01 06 08 00 190   9.0  12.0  4.7  13   MM  MM 1021.2  -1.9   6.1   7.9    MM   MM     MM
46211  46.857 -124.244 2012 01 06 07 36  MM    MM    MM  5.3  17 11.2 266     MM    MM    MM   8.4    MM   MM     MM
46212  40.753 -124.313 2012 01 06 08 12  MM    MM    MM  4.4  15 11.1 286     MM    MM    MM  10.8    MM   MM     MM
46213  40.294 -124.740 2012 01 06 07 54  MM    MM    MM  5.0  15 10.7 286     MM    MM    MM  10.8    MM   MM     MM
46214  37.945 -123.470 2012 01 06 08 20  MM    MM    MM  4.9  15  9.6 278     MM    MM    MM  11.5    MM   MM     MM
46215  35.204 -120.860 2012 01 06 07 38  MM    MM    MM  3.6  15 10.3 253     MM    MM    MM  13.0    MM   MM     MM
46216  34.334 -119.804 2012 01 06 07 57  MM    MM    MM  2.4  14 10.1 268     MM    MM    MM  14.4    MM   MM     MM
46217  34.167 -119.435 2012 01 06 08 12  MM    MM    MM  2.0  14  9.4 271     MM    MM    MM  14.4    MM   MM     MM
46218  34.451 -120.769 2012 01 06 08 02  MM    MM    MM  4.5  14 10.5 282     MM    MM    MM  13.4    MM   MM     MM
46219  33.221 -119.882 2012 01 06 07 58  MM    MM    MM  4.0  14  9.6 281     MM    MM    MM  14.1    MM   MM     MM
46221  33.854 -118.633 2012 01 06 07 15  MM    MM    MM  1.5  13   MM  MM     MM    MM    MM  14.7    MM   MM     MM
46222  33.618 -118.317 2012 01 06 07 56  MM    MM    MM  1.8  15 11.4 274     MM    MM    MM  15.0    MM   MM     MM
46223  33.458 -117.767 2012 01 06 08 00  MM    MM    MM  1.5  14  9.7 271     MM    MM    MM  15.3    MM   MM     MM
46224  33.179 -117.471 2012 01 06 07 36  MM    MM    MM  1.0  13  9.7 267     MM    MM    MM  14.8    MM   MM     MM
46225  32.930 -117.393 2012 01 06 07 44  MM    MM    MM  1.3  12  9.7 279     MM    MM    MM  14.8    MM   MM     MM
46229  43.769 -124.551 2012 01 06 07 51  MM    MM    MM  5.7  14 12.1 270     MM    MM    MM   9.7    MM   MM     MM
46231  32.748 -117.370 2012 01 06 07 54  MM    MM    MM  1.8  13 11.0 281     MM    MM    MM  14.9    MM   MM     MM
46232  32.530 -117.431 2012 01 06 07 38  MM    MM    MM  1.9  13 10.5 271     MM    MM    MM  14.8    MM   MM     MM
46236  36.761 -121.947 2012 01 06 07 50  MM    MM    MM  3.8  17 11.2 272     MM    MM    MM  11.9    MM   MM     MM
46237  37.781 -122.599 2012 01 06 08 10  MM    MM    MM  4.3  18 11.4 254     MM    MM    MM  11.2    MM   MM     MM
46238  33.499 -119.490 2012 01 06 07 50  MM    MM    MM  3.3  17 11.1 279     MM    MM    MM  13.9    MM   MM     MM
46239  36.338 -122.101 2012 01 06 07 51  MM    MM    MM  4.8  18 10.8 282     MM    MM    MM  12.0    MM   MM     MM
46240  36.626 -121.907 2012 01 06 08 12  MM    MM    MM  2.1  13  9.2 349     MM    MM    MM  11.7    MM   MM     MM
46241  33.003 -117.292 2012 01 06 07 41  MM    MM    MM  1.2  13 10.1 269     MM    MM    MM  14.3    MM   MM     MM
46242  33.220 -117.440 2012 01 06 07 58  MM    MM    MM  0.8  13  9.4 243     MM    MM    MM  15.0    MM   MM     MM
46243  46.216 -124.128 2012 01 06 07 59  MM    MM    MM  5.7  17 11.6 259     MM    MM    MM   8.1    MM   MM     MM
46244  40.888 -124.357 2012 01 06 08 05  MM    MM    MM  5.4  17 12.2 279     MM    MM    MM  10.7    MM   MM     MM
